actor,Movie_or_TV_name
Sofia Coppola,1995 MTV Video Music Awards
Sofia Coppola,Hi Octane
Sofia Coppola,Sandra After Dark
Sofia Coppola,7th Annual Independent Spirit Awards
Sofia Coppola,The 19th Annual Rudolph Valentino Awards
Sofia Coppola,The 43rd Annual Directors Guild Awards
Sofia Coppola,The Tonight Show Starring Johnny Carson
Sofia Coppola,The Godfather Family: A Look Inside
Sofia Coppola,The Bill Murray Stories: Life Lessons Learned from a Mythical Man
Sofia Coppola,Extra with Billy Bush
Sofia Coppola,Celebrity Page
Sofia Coppola,"House of Style: Music, Models and MTV"
Sofia Coppola,"Penélope, camino a los Oscar"
Sofia Coppola,Cut Shorts
Sofia Coppola,Cannes 2006: Crónica de Carlos Boyero
Sofia Coppola,The Godfather
Sofia Coppola,Cinema mil
Sofia Coppola,Silenci?
Sofia Coppola,Words in Progress
Sofia Coppola,The Chemical Brothers: Singles 93-03
Sofia Coppola,The Godfather Trilogy: 1901-1980
Sofia Coppola,Hearts of Darkness: A Filmmaker's Apocalypse
Robert Dahdah,Desperately Seeking Susan
Robert Dahdah,The Purple Rose of Cairo
Robert Dahdah,Broadway Danny Rose
Robert Dahdah,Rollover
Robert Dahdah,Wolfen
Robert Dahdah,Raging Bull
Robert Dahdah,The First Deadly Sin
Robert Dahdah,The Rose
Robert Dahdah,Superman
Robert Dahdah,Eyes of Laura Mars
Robert Dahdah,Three Days of the Condor
Robert Dahdah,Death Wish
Robert Dahdah,The Way We Were
Robert Dahdah,Cancel My Reservation
Robert Dahdah,The Godfather
Robert Dahdah,The French Connection
Robert Dahdah,Husbands
Robert Dahdah,The Body Beneath
Robert Dahdah,Midnight Cowboy
Robert Dahdah,A Lovely Way to Die
Robert Dahdah,"Kiss Me, Kiss Me, Kiss Me!"
Robert Dahdah,The Producers
Robert Dahdah,The Promiscuous Sex
Robert Dahdah,The Edge of Night
Robert Dahdah,Vapors
Robert Dahdah,Mirage
Robert Dahdah,Lilith
Robert Dahdah,The Pawnbroker
Robert Dahdah,Something Wild
Robert Dahdah,The Young Doctors
Robert Dahdah,BUtterfield 8
Robert Dahdah,Stage Struck
Gray Frederickson,Sir John
Gray Frederickson,The Chameleon
Gray Frederickson,The Vivianne Carter Story
Gray Frederickson,All Terrain
Gray Frederickson,Unconquerable Part I
Gray Frederickson,As the Village Sleeps
Gray Frederickson,The Magic of Rob Lake Armed Forces Entertainment Special
Gray Frederickson,Marvin's Shining Star
Gray Frederickson,Children of the Coffee
Gray Frederickson,Children of Hope
Gray Frederickson,Legacy
Gray Frederickson,From the Ashes
Gray Frederickson,Distant Vision
Gray Frederickson,Behind the Water
Gray Frederickson,Ratpocalypse
Gray Frederickson,Bassett Tales
Gray Frederickson,Diamond Cartel
Gray Frederickson,Persecuted
Gray Frederickson,America: Imagine the World Without Her
Gray Frederickson,The Grand Energy Transition
Gray Frederickson,Crazy Enough
Gray Frederickson,Ivory
Gray Frederickson,Dream No Little Dream: The Life and Legacy of Robert S. Kerr
Gray Frederickson,The Hunt
Gray Frederickson,Fingerprints
Gray Frederickson,Soul's Midnight
Gray Frederickson,Surveillance
Gray Frederickson,Cloud 9
Gray Frederickson,"South of Heaven, West of Hell"
Gray Frederickson,Heaven's Prisoners
Gray Frederickson,Staying Afloat
Gray Frederickson,Ladybugs
Gray Frederickson,The Godfather: Part III
Gray Frederickson,UHF
Gray Frederickson,Houston Knights
Gray Frederickson,The Return of Mickey Spillane's Mike Hammer
Gray Frederickson,The Outsiders
Gray Frederickson,One from the Heart
Gray Frederickson,Apocalypse Now
Gray Frederickson,The Godfather Saga
Gray Frederickson,The Godfather: Part II
Gray Frederickson,Hit!
Gray Frederickson,The Godfather
Gray Frederickson,Making It
Gray Frederickson,Little Fauss and Big Halsy
Gray Frederickson,So This Is God's Country?
Gray Frederickson,Natika
Gray Frederickson,Fingerprints
Gray Frederickson,Heaven's Prisoners
Gray Frederickson,UHF
Gray Frederickson,Machine Gun McCain
Gray Frederickson,Candy
Gray Frederickson,Frame Up
Gray Frederickson,"The Good, the Bad and the Ugly"
Gray Frederickson,Run for Your Wife
Gray Frederickson,Heaven's Prisoners
Gray Frederickson,Bulletproof
Gray Frederickson,1941
Gray Frederickson,Big Wednesday
Gray Frederickson,The Godfather
Gray Frederickson,An Italian in America
Gray Frederickson,Agenda
Gray Frederickson,My 5 Wives
Gray Frederickson,The Wedding March
Gray Frederickson,One on Top of the Other
Gray Frederickson,Carnal Circuit
Gray Frederickson,Bad Girls
Gray Frederickson,Soul's Midnight
Gray Frederickson,"Outlaw: Life, Death and Texas Football"
Gray Frederickson,Dancing in the Chamber
Gray Frederickson,By Dawn
Gray Frederickson,The Lazarus Heart
Gray Frederickson,Making the Grade
Gray Frederickson,The Virgin Suicides
Gray Frederickson,Hearts of Darkness: A Filmmaker's Apocalypse
Gray Frederickson,The Godfather Family: A Look Inside
Gray Frederickson,Live Cinema Workshop
Gray Frederickson,An Unintended Documentary
Gray Frederickson,Brando
Gray Frederickson,The Hunt Chronicles
Gray Frederickson,Hoosiers Meets Hooters: Behind 'Cloud 9'
Gray Frederickson,47th Annual Academy Awards
Roman Coppola,Paul McCartney: Find My Way
Roman Coppola,Mariah Carey's Magical Christmas Special
Roman Coppola,"Mariah Carey Feat. Ariana Grande, Jennifer Hudson: Oh Santa!"
Roman Coppola,The Strokes: The Adults Are Talking
Roman Coppola,Heinz: Find the Goodness
Roman Coppola,Mozart in the Jungle
Roman Coppola,Microsoft: 3D Holiday
Roman Coppola,Mommeostasis
Roman Coppola,Beastie Boys Feat. Nas: Too Many Rappers
Roman Coppola,"Kylie Minogue: Sexercize, Version 2"
Roman Coppola,Here Comes the Night Time
Roman Coppola,Prada: Candy
Roman Coppola,A Glimpse Inside the Mind of Charles Swan III
Roman Coppola,Stella Artois: She Is a Thing of Beauty
Roman Coppola,Stella Artois Le Apartomatic Commercial
Roman Coppola,Sébastien Tellier: L'amour et la violence
Roman Coppola,Arctic Monkeys: Teddy Picker
Roman Coppola,Phoenix: Long Distance Call
Roman Coppola,Phoenix: Everything Is Everything
Roman Coppola,The Work of Director Spike Jonze
Roman Coppola,The Strokes: 12:51
Roman Coppola,The Strokes: 12:51 (Studio Version)
Roman Coppola,Phantom Planet: Lonely Day
Roman Coppola,The Strokes: Someday
Roman Coppola,The Strokes: Hard to Explain
Roman Coppola,Phantom Planet: California
Roman Coppola,The Strokes: The Modern Age
Roman Coppola,$2 Bill
Roman Coppola,Phoenix: Funky Squaredance
Roman Coppola,The Strokes: Last Nite
Roman Coppola,Green Day: International Supervideos!
Roman Coppola,Moby: Play - The DVD
Roman Coppola,Stop for a Minute
Roman Coppola,CQ
Roman Coppola,D.A.F.T.
Roman Coppola,Air: Playground Love
Roman Coppola,Blondie: Maria
Roman Coppola,Supergrass: We Still Need More (Than Anyone Can Give)
Roman Coppola,Moby: Honey
Roman Coppola,Fatboy Slim: Gangster Trippin
Roman Coppola,Daft Punk: Revolution 909
Roman Coppola,Wyclef Jean: We Trying to Stay Alive
Roman Coppola,The Presidents of the United States of America: Lump
Roman Coppola,Green Day: Walking Contradiction
Roman Coppola,The Presidents of the United States of America: Dune Buggy
Roman Coppola,The Presidents of the United States of America: Peaches
Roman Coppola,Matthew Sweet: Sick of Myself
Roman Coppola,The Presidents of the United States of America: Kitty
Roman Coppola,Matthew Sweet: We're the Same
Roman Coppola,Love Battery: Harold's Pink Room
Roman Coppola,"Sheryl Crow: All I Wanna Do, Version 2"
Roman Coppola,Ween: Voodoo Lady
Roman Coppola,P.M. Dawn: Norwegian Wood
Roman Coppola,Matthew Sweet: I've Been Waiting
Roman Coppola,Matthew Sweet: Girlfriend
Roman Coppola,Fairyland
Roman Coppola,The Seven Faces of Jane
Roman Coppola,The French Dispatch
Roman Coppola,Mariah Carey's Magical Christmas Special
Roman Coppola,On the Rocks
Roman Coppola,Mozart in the Jungle
Roman Coppola,The Beguiled
Roman Coppola,A Very Murray Christmas
Roman Coppola,Castello Cavalcanti
Roman Coppola,The Bling Ring
Roman Coppola,Eugene
Roman Coppola,A Glimpse Inside the Mind of Charles Swan III
Roman Coppola,On the Road
Roman Coppola,The Fist of Oblivion
Roman Coppola,Somewhere
Roman Coppola,The Darjeeling Limited
Roman Coppola,Bat for Lashes: Prescilla
Roman Coppola,The Spirit of '76
Roman Coppola,The Godfather Family: A Look Inside
Roman Coppola,Clownhouse
Roman Coppola,Rumble Fish
Roman Coppola,Asteroid City
Roman Coppola,The French Dispatch
Roman Coppola,Heinz: Find the Goodness
Roman Coppola,Mozart in the Jungle
